,code,title,pointsR1,pointsR2
164,CK703,Pharmacy,613.0,613.0
165,CK704,OccupationalTherapy,601.0,
166,CK705,SpeechandLanguageTherapy,568.0,566.0
167,CK706,PublicHealthSciences,500.0,
168,CK707,MedicalandHealthSciences,578.0,
169,CK710,GeneralNursing,498.0,497.0
170,CK712,Children`sandGeneralNursing(Integrated),565.0,
171,CK720,MentalHealthNursing,455.0,452.0
172,CK730,IntellectualDisabilityNursing,431.0,
173,CK740,Midwifery,509.0,
174,CK791,Medicine-GraduateEntry(GAMSATrequired),60.0,60.0
175,AC120,InternationalBusiness,294.0,294.0
176,AC137,LiberalArts,271.0,270.0
177,CT125,ComputingandIT,242.0,242.0
178,CT325,Business,253.0,253.0
179,CM001,Education-PrimaryTeaching,508.0,
180,CM002,Education-PrimaryTeaching-GaeltachtApplicant,462.0,
181,CM003,Oideachas–BunmhúinteoireachtTríMheánnaGaeilg,513.0,
182,CM004,Oideachas-BunmhúinteoireachtTríMheánnaGaeilg,480.0,
183,CM010,EducationStudies,382.0,327.0
184,CM020,EarlyChildhoodEducation,317.0,
185,DB500,Computing,234.0,234.0
186,DB501,Computing(CloudComputing),,178.0
187,DB502,Computing(DataAnalyticsandBigData),267.0,233.0
188,DB503,Computing(SoftwareDevelopment),,
189,DB504,Computing(WebandMobileTechnology),,
190,DB510,AudioProductionandMusicProjectManagement,217.0,217.0
191,DB512,BusinessStudies,243.0,210.0
192,DB514,BusinessStudies(Law),239.0,225.0
193,DB515,BusinessStudies(HumanResourceManagement),242.0,217.0
194,DB517,Marketing(EventManagement),233.0,225.0
195,DB518,Marketing(DigitalMedia),307.0,209.0
196,DB521,AccountingandFinance,243.0,228.0
197,DB524,Business(InformationSystems),247.0,239.0
198,DB525,Marketing(DigitalMediaandCloudComputing),288.0,288.0
199,DB526,Business(CloudComputing),244.0,244.0
200,DB527,AppliedSocialCare,254.0,219.0
201,DB531,Marketing,288.0,176.0
202,DB562,Psychology,244.0,233.0
203,DB566,SocialScience,262.0,228.0
204,DB567,FilmandCreativeMedia,245.0,213.0
205,DB568,Law,254.0,228.0
206,DB569,Business(Psychology),240.0,240.0
207,DC001,Education-EarlyChildhoodEducation,445.0,
208,DC002,Education-PrimaryTeaching,518.0,
209,DC003,Education-PrimaryTeaching-GaeltachtApplicant,489.0,
210,DC004,Education-PrimaryTeaching(ChurchofIrelandCe,451.0,
211,DC009,Arts(JointHonours)-Humanities,356.0,
212,DC010,PostPrimaryTeacherEducation-ReligiousEducati,384.0,
213,DC011,PostPrimaryTeacherEducation-ReligiousEducati,409.0,
214,DC012,PostPrimaryTeacherEducation-ReligiousEducati,409.0,
215,DC013,PostPrimaryTeacherEd-GaeilgewithFrench/Germ,413.0,
216,DC014,BAinJazzandContemporaryMusicPerformance(aud,311.0,
217,DC110,BusinessStudiesInternational,498.0,
218,DC111,BusinessStudies,511.0,
219,DC112,GlobalBusiness(France),542.0,
220,DC113,GlobalBusiness(Germany),484.0,
221,DC114,GlobalBusiness(Spain),544.0,
222,DC115,AccountingandFinance,544.0,
223,DC116,GlobalBusiness(USA),613.0,
224,DC117,AviationManagement/AviationManagementwithPil,484.0,
225,DC118,GnáagusGaeilge/BusinessandIrish,368.0,
226,DC119,GlobalBusiness(Canada),601.0,
227,DC120,ComputingforBusiness,403.0,402.0
228,DC121,ComputerScience,475.0,
229,DC123,DataScience,501.0,
230,DC126,ActuarialMathematics,577.0,
231,DC127,CommonEntryintoActuarialandFinancialMathemat,541.0,
232,DC131,CommunicationStudies,421.0,
233,DC132,Journalism,452.0,
234,DC133,Multimedia,435.0,
235,DC155,AppliedLanguageandTranslationStudies,427.0,
236,DC161,AnalyticalScience,498.0,
237,DC162,ChemicalandPharmaceuticalSciences,531.0,
238,DC163,ChemicalSciencesGeneralEntry(UndenominatedEnt,466.0,
239,DC166,EnvironmentalScienceandTechnology,423.0,
240,DC168,GeneticsandCellBiology,543.0,
241,DC175,PhysicsGeneralEntry(options),400.0,
242,DC180,BiologicalSciencesGeneralEntry(UndenominatedE,530.0,
243,DC181,Biotechnology,530.0,
244,DC190,ElectronicandComputerEngineering(withchoiceo,488.0,
245,DC193,MechatronicEngineering,490.0,
246,DC194,SustainableSystemsandEnergy,476.0,
247,DC195,MechanicalandManufacturingEngineering,500.0,
248,DC197,BiomedicalEngineering,510.0,
249,DC200,CommonEntryintoEngineering(UndenominatedEntry,511.0,510.0
250,DC202,SportScienceandHealth,511.0,
251,DC203,ScienceEducation,462.0,
252,DC204,AthleticTherapyandTraining,558.0,
253,DC205,PhysicalEducationwithBiology,565.0,
254,DC206,PhysicalEducationwithMathematics,521.0,
255,DC207,PsychologyandMathematics,521.0,
256,DC208,Psychology,565.0,
257,DC209,HealthandSociety,477.0,
258,DC210,PsychologyandDisruptiveTechnologies,506.0,
259,DC215,GeneralNursing,456.0,
260,DC216,MentalHealthNursing,420.0,
261,DC217,IntellectualDisabilityNursing,382.0,
262,DC218,Children`sandGeneralNursing(Integrated),521.0,
263,DC230,EconomicsPoliticsandLaw,431.0,
264,DC231,InternationalRelations,398.0,
265,DC232,LawandSociety(BCL),469.0,
266,DC235,EducationandTraining-DaytimeandFlexibleDeli,302.0,
267,DC238,SocialSciencesandCulturalInnovation,387.0,
268,DC240,MarketingInnovationandTechnology,499.0,
269,DC241,DigitalBusinessandInnovation,509.0,
270,DC291,Arts(JointHonours)-MediaStudies,350.0,
271,DC292,Arts(JointHonours)-Law,400.0,
272,DC293,Arts(JointHonours)-InternationalLanguages,379.0,
273,DC294,ClimateandEnvironmentalSustainability,475.0,
274,DC295,Arts(JointHonours)-Politics,349.0,
275,DL822,ArtsManagement,254.0,
276,DL823,BusinessManagement,220.0,
277,DL825,AppliedPsychology,418.0,413.0
278,DL826,GraphicDesign,591.0,
279,DL827,Art,574.0,
280,DL832,Animation,989.0,
281,DL833,PhotographyandVisualMedia,671.0,671.0
282,DL836,CreativeComputing,235.0,
283,DL837,NewMediaStudies,298.0,293.0
284,DL838,CreativeMusicProduction,713.0,
285,DL839,InteractionandUserExperienceDesign,757.0,
286,DL840,DigitalMarketing,210.0,
287,DL841,EnglishandEqualityStudies,277.0,277.0
288,DL843,Film,987.0,874.0
289,DL844,Television,566.0,
290,DL845,DesignforFilm(degreeoptions),628.0,
291,GC200,Business,269.0,242.0
292,GC201,AccountingandFinance,260.0,226.0
293,GC230,ComputingScience,300.0,289.0
294,GC300,Business,264.0,264.0
295,GC301,AccountingandFinance,,251.0
296,GC302,Business-HRM,377.0,377.0
297,GC307,Business(Marketing),289.0,270.0
298,GC400,Business,250.0,228.0
299,GC401,AccountingandFinance,242.0,242.0
300,GC402,Business(HRM),,
301,GC403,Law,245.0,242.0
302,GC407,Business(Marketing),264.0,264.0
303,GC430,ComputingScience,251.0,251.0
304,GC450,CommunicationsandMediaProduction,225.0,225.0
305,GC462,DesignCommunication(portfolio),300.0,
306,GC489,InteriorArchitecture(portfolio),288.0,274.0
307,GC494,FashionDesign(portfolio),351.0,
308,BY001,Business,210.0,210.0
309,ID001,AccountingandFinance,,
310,ID002,BusinessStudies,,
311,AD101,FirstYearArtandDesign(CommonEntryportfolio),554.0,
312,AD102,GraphicDesignandMovingImageDesign(portfolio),538.0,
313,AD103,TextileandSurfaceDesignandJewelleryandObjec,505.0,
314,AD202,EducationandDesignorFineArt(SecondLevelTea,591.0,
315,AD204,FineArt(portfolio),514.0,
316,AD211,FashionDesign(portfolio),760.0,679.0
317,AD212,ProductDesign(portfolio),413.0,
318,AD215,VisualCulture,337.0,300.0
319,AD217,Illustration(portfolio),738.0,
320,AD222,InteractionDesign(portfolio),444.0,
321,NC003,Computing(DegreeAwardoptions),271.0,
322,NC005,HumanResourceManagement,301.0,
323,NC009,Business,300.0,
324,NC010,Psychology,420.0,
325,NC020,MarketingPractice,270.0,
326,NC022,AccountingandFinance,330.0,
327,NC023,TechnologyManagement(withspecialisations),266.0,
328,NC030,EarlyChildhoodEducationandCare,251.0,251.0
329,RC001,Medicine-UndergraduateEntry(HPATrequired),741.0,740.0
330,RC004,Physiotherapy,589.0,589.0
331,RC005,Pharmacy,613.0,613.0
332,RC101,Medicine-GraduateEntry(GAMSATrequired),,
333,NM801,MontessoriEducation,262.0,
334,NM802,Psychology,228.0,
335,TU801,SustainableEnergyEngineering,235.0,
336,TU802,ElectricalServicesandEnergyManagement,309.0,
337,TU804,Engineering(CommonEntrywithAwardoptions),270.0,
338,TU805,Engineering(GeneralEntry),466.0,465.0
339,TU807,ComputerEngineeringinMobileSystems,274.0,
340,TU810,MechatronicEngineering,271.0,
341,TU811,ProductDesign,440.0,434.0
342,TU812,DesignTechnologyandInnovation,278.0,
343,TU814,SustainableTransportManagement,253.0,253.0
344,TU828,MechanicalEngineering(GeneralEntry),300.0,
345,TU829,ElectronicEngineering(GeneralEntry),248.0,248.0
346,TU831,ArchitecturalTechnology,423.0,
347,TU832,Architecture(SuitabilityTestandInterview),644.0,638.0
348,TU833,ConstructionManagement,396.0,
349,TU834,GeographicScience,315.0,
350,TU835,PlanningandEnvironmentalManagement,330.0,
351,TU836,PropertyEconomics(ValuationSurveying),411.0,
352,TU837,QuantitySurveyingandConstructionEconomics,413.0,
353,TU838,SustainableTimberTechnology,307.0,271.0
354,TU851,AnalyticalChemistry(EnvironmentalForensicand,400.0,
355,TU852,ChemicalScienceswithMedicinalChemistry,477.0,
356,TU854,Science(GeneralEntry),510.0,
357,TU855,SciencewithNanotechnology,322.0,
358,TU856,ComputerScience,499.0,
359,TU857,ComputerScience(Infrastructure),403.0,
360,TU858,ComputerScience(International),395.0,
361,TU859,Computing,251.0,
362,TU860,Computing(InformationTechnology),270.0,
363,TU861,ComputingwithLanguage(French/German/Spanish),235.0,235.0
364,TU862,ComputingwithArtificialIntelligenceMachineLea,262.0,
365,TU863,DigitalForensicsandCyberSecurity,282.0,
366,TU864,DNAandForensicAnalysis,500.0,441.0
367,TU865,CloudComputing,235.0,
368,TU866,BiomedicalandMolecularDiagnostics,522.0,
369,TU867,BiomedicalScience,576.0,566.0
370,TU868,ClinicalMeasurementScience,542.0,
371,TU869,EnvironmentalHealth,387.0,
372,TU870,HumanNutritionandDietetics,601.0,
373,TU871,Optometry,532.0,
374,TU872,PublicHealthNutrition,487.0,
375,TU874,MathematicalSciences,294.0,294.0
376,TU875,PharmaceuticalHealthcare,451.0,
377,TU876,PharmaceuticalScience,445.0,
378,TU877,PhysicsTechnology,314.0,314.0
379,TU878,PhysicswithEnergyandEnvironment,339.0,
380,TU879,PhysicswithMedicalPhysicsandBioengineering,346.0,
381,TU880,PhysicswithDataScience,412.0,
382,TU881,FoodInnovation,309.0,
383,TU882,NutraceuticalsinHealthandNutrition,380.0,
384,TU902,Business(options),270.0,
385,TU903,BusinessandManagement,477.0,
386,TU904,BusinessandLaw,462.0,
387,TU905,EconomicsandFinance,460.0,
388,TU906,HumanResourceManagement,386.0,377.0
389,TU907,LogisticsandSupplyChainManagement,300.0,
390,TU910,Accounting,420.0,
391,TU912,BusinessAnalytics,331.0,311.0
392,TU914,BusinessComputing,322.0,
393,TU917,Law(LLB)withaLanguage,356.0,
394,TU918,Law(LLB),463.0,
395,TU919,AdvertisingandMarketingCommunications,219.0,
396,TU920,DigitalMarketing,270.0,
397,TU921,DigitalMarketingTechnologies,230.0,
398,TU922,Marketing,412.0,
399,TU924,E-CommerceinRetailing,307.0,
400,TU925,RetailandServicesManagement,307.0,
401,TU932,Business(options),211.0,
402,TU933,AccountingandFinance(campusoptions),251.0,
403,TU935,SportsManagementandCoaching,300.0,
404,TU936,SportsScienceandHealth,484.0,
405,TU941,BotanicalCuisine,311.0,
406,TU942,CulinaryArts,252.0,
407,TU943,CulinaryEntrepreneurship,261.0,
408,TU944,CulinaryScience,336.0,
409,TU951,InternationalHospitalityandTourismManagement,244.0,
410,TU952,InternationalHospitalityManagement,309.0,
411,TU953,TourismandDigitalMarketing,308.0,
412,TU954,EventManagement,326.0,
413,TU955,SportsandLeisureManagement,275.0,
414,TU961,CommercialModernMusic(BIMM-assessment/auditio,536.0,536.0
415,TU962,Drama(Performanceaudition),448.0,
416,TU963,Music(audition),364.0,
417,TU965,InternationalBusinessandLanguages,357.0,
418,TU967,LanguagesandInternationalTourism,298.0,
419,TU973,Design-VisualCommunication(portfolio),700.0,
420,TU974,FineArt(portfolio),549.0,
421,TU975,InteriorDesign(portfolio),544.0,
422,TU976,Photography(portfolio),700.0,
423,TU978,CreativeIndustriesandVisualCulture,299.0,
424,TU981,CreativeDigitalMedia,280.0,
425,TU982,MediaProductionandDigitalArts,369.0,
426,TU983,FilmandBroadcasting,462.0,453.0
427,TU984,GameDesign,414.0,
428,TU985,Journalism,367.0,
429,TU989,EarlyChildhoodCareandEducation(campusoptions,270.0,
430,TU991,AppliedSocialStudiesinSocialCare,326.0,
431,TU992,CommunityDevelopmentandYouthWork,251.0,
432,TU995,EarlyChildhoodEducation,378.0,
433,TU996,SocialCare,407.0,
434,TU997,AppliedSocialCare,320.0,
435,TR002,Music,508.0,477.0
436,TR003,History,552.0,543.0
437,TR004,Law,590.0,589.0
438,TR005,Philosophy,510.0,497.0
439,TR006,Psychology,601.0,590.0
440,TR007,ClinicalSpeechandLanguageStudies,564.0,
441,TR009,MusicEducation,496.0,486.0
442,TR015,PhilosophyPoliticalScienceEconomicsandSocio,613.0,613.0
443,TR016,DeafStudies,389.0,
444,TR018,LawandFrench,602.0,602.0
445,TR019,LawandGerman,577.0,567.0
446,TR021,ClassicsAncientHistoryandArchaeology,467.0,462.0
447,TR022,EarlyandModernIrish,377.0,
448,TR023,EnglishStudies,546.0,541.0
449,TR024,EuropeanStudies,566.0,
450,TR025,DramaandTheatreStudies,543.0,519.0
451,TR028,AncientandMedievalHistoryandCulture,498.0,463.0
452,TR031,Mathematics,579.0,578.0
453,TR032,Engineering,556.0,555.0
454,TR033,ComputerScience,566.0,549.0
455,TR034,ManagementScienceandInformationSystemsStudies,625.0,625.0
456,TR035,TheoreticalPhysics,590.0,589.0
457,TR038,EngineeringwithManagement,589.0,589.0
458,TR039,ComputerScienceLinguisticsandaLanguage,443.0,
459,TR040,MiddleEasternandEuropeanLanguagesandCultures,520.0,499.0
460,TR041,Religion,417.0,
461,TR042,Film,531.0,522.0
462,TR043,HistoryofArtandArchitecture,498.0,486.0
463,TR051,Medicine(HPATrequired),743.0,743.0
464,TR052,DentalScience,625.0,625.0
465,TR053,Physiotherapy,590.0,
466,TR054,OccupationalTherapy,578.0,577.0
467,TR055,RadiationTherapy,577.0,566.0
468,TR056,HumanHealthandDisease,601.0,
469,TR060,BiologicalandBiomedicalSciences,578.0,577.0
470,TR061,ChemicalSciences,558.0,554.0
471,TR062,GeographyandGeoscience,495.0,
472,TR063,PhysicalSciences,554.0,543.0
473,TR064,EnvironmentalScienceandEngineering,555.0,
474,TR072,Pharmacy,613.0,613.0
475,TR080,GlobalBusiness,613.0,
476,TR081,BusinessEconomicandSocialStudies(BESS),577.0,567.0
477,TR084,SocialStudies(SocialWork),497.0,487.0
478,TR085,BusinessStudiesandFrench,564.0,
479,TR086,BusinessStudiesandGerman,530.0,
480,TR087,BusinessStudiesandRussian,487.0,
481,TR089,BusinessStudiesandPolish,391.0,
482,TR090,BusinessStudiesandSpanish,566.0,
483,TR091,GeneralNursing(MeathandStJames`s),462.0,456.0
484,TR093,GeneralNursing(AdelaideSchoolofNursing),473.0,
485,TR095,MentalHealthNursing,442.0,
486,TR097,IntellectualDisabilityNursing,412.0,410.0
487,TR911,Children`sandGeneralNursing(Integrated),531.0,
488,TR913,Midwifery,521.0,
489,DN100,Architecture,555.0,
490,DN120,LandscapeArchitecture,463.0,435.0
491,DN130,CityPlanningandEnvironmentalPolicy,445.0,424.0
492,DN150,Engineering(CommonEntry),565.0,
493,DN200,Science(options),577.0,567.0
494,DN201,ComputerScience(CommonEntry),554.0,549.0
495,DN230,ActuarialandFinancialStudies,613.0,613.0
496,DN240,Sustainability,510.0,
497,DN250,AgriculturalScience(options),454.0,444.0
498,DN261,FoodScience,531.0,
499,DN262,HumanNutrition,566.0,
500,DN300,VeterinaryMedicine-UndergraduateEntry,601.0,
501,DN301,VeterinaryMedicine-GraduateEntry(GAMSATrequi,,
502,DN310,VeterinaryNursing,521.0,509.0
503,DN400,Medicine-UndergraduateEntry(HPATrequired),743.0,
504,DN401,Medicine-GraduateEntry(GAMSATrequired),61.0,
505,DN410,Radiography,566.0,566.0
506,DN411,Radiography-GraduateEntry,,
507,DN420,Physiotherapy,601.0,601.0
508,DN425,HealthandPerformanceScience,544.0,543.0
509,DN430,SportandExerciseManagement,484.0,476.0
510,DN440,BiomedicalHealthandLifeSciences,613.0,613.0
511,DN450,GeneralNursing,462.0,
512,DN451,Children`sandGeneralNursing(Integrated),533.0,
513,DN452,Midwifery,510.0,509.0
514,DN453,MentalHealthNursing,442.0,
515,DN520,JointHonours(options),381.0,378.0
516,DN530,Humanities(options),397.0,388.0
517,DN541,ModernLanguages(options),320.0,
518,DN600,Law(options),576.0,567.0
519,DN610,BusinessandLaw,573.0,567.0
520,DN650,Commerce,555.0,
521,DN660,CommerceInternational(options),555.0,554.0
522,DN670,EconomicsandFinance,625.0,625.0
523,DN700,SocialSciences(options),475.0,474.0
524,DN710,Economics,534.0,532.0
525,DN720,Psychology,566.0,564.0
526,DN750,SocialPolicyandSociology,421.0,
527,DK810,AccountingandFinance,307.0,307.0
528,DK816,BusinessStudies,301.0,301.0
529,DK820,ComputinginGamesDevelopment,309.0,309.0
530,DK821,ComputinginSoftwareDevelopment,320.0,316.0
531,DK822,AugmentedandVirtualReality,320.0,320.0
532,DK830,BuildingSurveying,305.0,
533,DK831,ArchitecturalTechnology,368.0,314.0
534,DK832,ConstructionManagement,358.0,305.0
535,DK843,Engineering(CommonEntry),404.0,391.0
536,DK844,MechanicalEngineering,336.0,336.0
537,DK845,ElectricalandElectronicEngineering,331.0,331.0
538,DK846,CivilEngineering,371.0,371.0
539,DK850,InternationalTourismManagement,303.0,303.0
540,DK861,Arts,302.0,302.0
541,DK862,SocialCare,322.0,319.0
542,DK863,CreativeMedia,336.0,320.0
543,DK864,FilmandTelevisionProduction,308.0,
544,DK865,AudioandMusicProduction,352.0,
545,DK870,GeneralNursing,440.0,440.0
546,DK872,IntellectualDisabilityNursing,367.0,366.0
547,DK874,MentalHealthNursing,398.0,
548,DK876,EarlyChildhoodStudies,300.0,
549,DK877,Midwifery,482.0,477.0
550,DK880,HealthandPhysicalActivity,301.0,
551,DK882,Agriculture(Awardoptions),342.0,
552,DK883,Science(Awardoptions),373.0,368.0
553,DK884,SustainableAgriculture,348.0,
554,DK885,Agri-FoodProduction,,
555,DK886,BiopharmaceuticalScience,379.0,
556,DK887,EnvironmentalScience,377.0,
557,GA181,Accounting,303.0,
558,GA182,Business,285.0,
559,GA183,BusinessInformationSystems,298.0,
560,GA184,MarketingandSales,300.0,
561,GA185,FinanceandEconomics,318.0,
562,GA186,BusinesswithEntrepreneurship,287.0,
563,GA187,RuralEnterpriseandAgri-Business,291.0,
564,GA281,FilmandDocumentary,310.0,301.0
565,GA282,HeritageStudies,252.0,
566,GA283,ContemporaryArt(portfolio),790.0,
567,GA284,Design,331.0,
568,GA285,Education(ArtDesignandGraphics),406.0,
569,GA380,InternationalHotelManagement,218.0,
570,GA381,InternationalTourismManagement,252.0,
571,GA382,CulinaryandGastronomicScience,235.0,
572,GA384,EventManagementwithPublicRelations,230.0,
573,GA480,ConstructionManagement,302.0,
