code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info,points_r1_2021-2020,points_r1_2020-2019,points_r1_2021-2019,2021vs2020,2020vs2019,2021vs2019
LC612,Social Care Work,309.0,,320.0,,338.0,,-11.0,-18.0,-29.0,Decrease,Decrease,Decrease
LC613,Early Childhood Education and Care,,,242.0,,388.0,,,-146.0,,Course Ran For One Year,Decrease,Course Ran For One Year
LM002,Arts,360.0,Randomly Selected,348.0,,388.0,,12.0,-40.0,-28.0,Increase,Decrease,Decrease
LM019,Social Sciences,451.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LM020,Law and Accounting,474.0,,465.0,,476.0,,9.0,-11.0,-2.0,Increase,Decrease,Decrease
LM026,Performing Arts (audition format TBC),329.0,Test/Portfolio,303.0,,367.0,Test/Portfolio,26.0,-64.0,-38.0,Increase,Decrease,Decrease
LM028,Criminal Justice,420.0,,418.0,,409.0,,2.0,9.0,11.0,Increase,Increase,Increase
LM029,Law Plus,530.0,,490.0,,499.0,,40.0,-9.0,31.0,Increase,Decrease,Increase
LM038,Psychology and Sociology,530.0,,500.0,,489.0,,30.0,11.0,41.0,Increase,Increase,Increase
LM039,Journalism and Digital Communication,432.0,,402.0,,430.0,,30.0,-28.0,2.0,Increase,Decrease,Increase
LM040,European Studies,409.0,,369.0,,462.0,,40.0,-93.0,-53.0,Increase,Decrease,Decrease
LM044,Applied Languages,429.0,,442.0,,473.0,,-13.0,-31.0,-44.0,Decrease,Decrease,Decrease
LM050,Business Studies (options),451.0,,431.0,,455.0,,20.0,-24.0,-4.0,Increase,Decrease,Decrease
LM056,International Business,555.0,Randomly Selected,528.0,,543.0,,27.0,-15.0,12.0,Increase,Decrease,Increase
LM058,Financial Mathematics,468.0,,403.0,,543.0,,65.0,-140.0,-75.0,Increase,Decrease,Decrease
LM063,Technology Management,410.0,,379.0,,409.0,,31.0,-30.0,1.0,Increase,Decrease,Increase
LM066,Environmental Science,430.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LM068,Food Science and Health,464.0,Randomly Selected,421.0,,430.0,,43.0,-9.0,34.0,Increase,Decrease,Increase
LM076,Product Design and Technology (portfolio required),401.0,Test/Portfolio,408.0,,466.0,Test/Portfolio,-7.0,-58.0,-65.0,Decrease,Decrease,Decrease
LM077,Aeronautical Engineering,567.0,,520.0,,531.0,,47.0,-11.0,36.0,Increase,Decrease,Increase
LM082,Construction Management and Engineering,446.0,Randomly Selected,398.0,,404.0,,48.0,-6.0,42.0,Increase,Decrease,Increase
LM089,Sport and Exercise Sciences,498.0,Randomly Selected,474.0,,466.0,,24.0,8.0,32.0,Increase,Increase,Increase
LM090,Physical Education with concurrent Teacher Educati,552.0,,532.0,,520.0,Randomly Selected,20.0,12.0,32.0,Increase,Increase,Increase
LM091,Languages with concurrent Teacher Education,506.0,,517.0,,,,-11.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
LM092,Science with Teacher Ed (Biology with Physics/Chem,521.0,,507.0,,509.0,,14.0,-2.0,12.0,Increase,Decrease,Increase
LM093,Equine Science,367.0,,339.0,,381.0,,28.0,-42.0,-14.0,Increase,Decrease,Decrease
LM094,Materials and Architectural Technology with concur,475.0,,440.0,,433.0,,35.0,7.0,42.0,Increase,Increase,Increase
LM095,Materials and Engineering Technology with concurre,425.0,,367.0,,409.0,,58.0,-42.0,16.0,Increase,Decrease,Increase
LM096,Science with Teacher Ed (Physical Sciences with Ch,454.0,,405.0,,422.0,,49.0,-17.0,32.0,Increase,Decrease,Increase
LM097,Mathematics and Computer Science with concurrent T,465.0,,402.0,,,,63.0,,,Increase,Course Ran For One Year,Course Ran For One Year
LM099,Architecture,520.0,,498.0,,473.0,Test/Portfolio,22.0,25.0,47.0,Increase,Increase,Increase
LM100,Physiotherapy,613.0,Randomly Selected,589.0,,577.0,Randomly Selected,24.0,12.0,36.0,Increase,Increase,Increase
LM101,Medicine  - Graduate Entry (GAMSAT required),57.0,Randomly Selected,55.0,,57.0,Randomly Selected,2.0,-2.0,0.0,Increase,Decrease,No Change
LM102,Psychology,534.0,,509.0,,519.0,,25.0,-10.0,15.0,Increase,Decrease,Increase
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429.0,Test/Portfolio,392.0,,403.0,Test/Portfolio,37.0,-11.0,26.0,Increase,Decrease,Increase
LM105,Exercise and Health Fitness Management,441.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LM115,Chemical and Biochemical Engineering,476.0,,454.0,,520.0,,22.0,-66.0,-44.0,Increase,Decrease,Decrease
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498.0,Randomly Selected,476.0,,498.0,,22.0,-22.0,0.0,Increase,Decrease,No Change
LM118,Electronic and Computer Engineering,445.0,,403.0,,498.0,,42.0,-95.0,-53.0,Increase,Decrease,Decrease
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402.0,,351.0,,420.0,,51.0,-69.0,-18.0,Increase,Decrease,Decrease
LM122,Creative Media and Interaction Design (Digital Des,382.0,,327.0,,430.0,,55.0,-103.0,-48.0,Increase,Decrease,Decrease
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498.0,Randomly Selected,441.0,,455.0,,57.0,-14.0,43.0,Increase,Decrease,Increase
LM124,Mathematics (Math Science/Maths and Physics/Econom,455.0,,437.0,,521.0,,18.0,-84.0,-66.0,Increase,Decrease,Decrease
LM125,Physics (Applied Physics or Mathematics and Physic,489.0,,404.0,,509.0,,85.0,-105.0,-20.0,Increase,Decrease,Decrease
LM150,General Nursing,498.0,Randomly Selected,475.0,,463.0,Randomly Selected,23.0,12.0,35.0,Increase,Increase,Increase
LM152,Mental Health Nursing,478.0,,419.0,,418.0,,59.0,1.0,60.0,Increase,Increase,Increase
LM154,Intellectual Disability Nursing,462.0,,420.0,,408.0,Randomly Selected,42.0,12.0,54.0,Increase,Increase,Increase
LM156,Midwifery,521.0,Randomly Selected,469.0,,444.0,,52.0,25.0,77.0,Increase,Increase,Increase
LY108,Business - Accounting,312.0,,309.0,,399.0,,3.0,-90.0,-87.0,Increase,Decrease,Decrease
LY118,Business,288.0,,290.0,,352.0,,-2.0,-62.0,-64.0,Decrease,Decrease,Decrease
LY128,Marketing with Online Technologies,261.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LY208,Law,300.0,,300.0,,359.0,,0.0,-59.0,-59.0,No Change,Decrease,Decrease
LY218,Business - with Spanish/Irish options,,,,,367.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LY228,Sports and Exercise - Common Entry,290.0,,300.0,,330.0,,-10.0,-30.0,-40.0,Decrease,Decrease,Decrease
LY408,Design - Common Entry,301.0,Test/Portfolio,320.0,,368.0,Test/Portfolio,-19.0,-48.0,-67.0,Decrease,Decrease,Decrease
LY508,Fire Safety Engineering,283.0,,276.0,,299.0,,7.0,-23.0,-16.0,Increase,Decrease,Decrease
LY518,Quantity Surveying,304.0,,301.0,,368.0,,3.0,-67.0,-64.0,Increase,Decrease,Decrease
LY528,Construction Management,262.0,,271.0,,291.0,,-9.0,-20.0,-29.0,Decrease,Decrease,Decrease
LY538,Architectural Technology,234.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LY608,Mechanical Engineering,300.0,,300.0,,333.0,,0.0,-33.0,-33.0,No Change,Decrease,Decrease
LY618,Electronic Engineering,321.0,,312.0,,339.0,,9.0,-27.0,-18.0,Increase,Decrease,Decrease
LY708,Applied Computing,320.0,,306.0,,348.0,,14.0,-42.0,-28.0,Increase,Decrease,Decrease
LY748,Computer Science,316.0,,317.0,,,,-1.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
LY818,Science - Common Entry,302.0,,303.0,,371.0,,-1.0,-68.0,-69.0,Decrease,Decrease,Decrease
LY828,Agriculture - Common Entry,308.0,,307.0,,342.0,,1.0,-35.0,-34.0,Increase,Decrease,Decrease
LY908,General Nursing,429.0,Randomly Selected,400.0,,390.0,,29.0,10.0,39.0,Increase,Increase,Increase
LY918,Psychiatric Nursing,367.0,Randomly Selected,357.0,,332.0,Randomly Selected,10.0,25.0,35.0,Increase,Increase,Increase
LY928,Intellectual Disability Nursing,357.0,,326.0,,299.0,,31.0,27.0,58.0,Increase,Increase,Increase
LY968,Early Childhood Care  Health and Education,288.0,,303.0,,336.0,,-15.0,-33.0,-48.0,Decrease,Decrease,Decrease
LY978,Health and Social Care - Common Entry,279.0,,280.0,,299.0,,-1.0,-19.0,-20.0,Decrease,Decrease,Decrease
MH001,Education - Primary Teaching (Froebel),564.0,,507.0,,520.0,Randomly Selected,57.0,-13.0,44.0,Increase,Decrease,Increase
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,,,,Randomly Selected,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
MH003,Early Childhood - Teaching and Learning (full-time,381.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
MH101,Arts,338.0,,318.0,,369.0,,20.0,-51.0,-31.0,Increase,Decrease,Decrease
MH103,Music,,Test/Portfolio,,Test/Portfolio,367.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
MH106,Psychology - 3 years,554.0,,521.0,,499.0,,33.0,22.0,55.0,Increase,Increase,Increase
MH107,Social Science,390.0,,346.0,,349.0,,44.0,-3.0,41.0,Increase,Decrease,Increase
MH109,Media Studies,324.0,,316.0,,377.0,,8.0,-61.0,-53.0,Increase,Decrease,Decrease
MH116,Community and Youth Work (Full-Time),,Test/Portfolio,,Test/Portfolio,271.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
MH201,Science,401.0,,360.0,,392.0,,41.0,-32.0,9.0,Increase,Decrease,Increase
MH202,Biotechnology,490.0,,455.0,,446.0,,35.0,9.0,44.0,Increase,Increase,Increase
MH203,Biological and Geographical Sciences,451.0,,430.0,,,,21.0,,,Increase,Course Ran For One Year,Course Ran For One Year
MH204,Physics with Astrophysics,422.0,,422.0,,488.0,,0.0,-66.0,-66.0,No Change,Decrease,Decrease
MH206,Theoretical Physics and Mathematics,521.0,,510.0,,566.0,,11.0,-56.0,-45.0,Increase,Decrease,Decrease
MH207,Data Science,444.0,,445.0,,466.0,,-1.0,-21.0,-22.0,Decrease,Decrease,Decrease
MH208,Biological and Biomedical Sciences,543.0,,498.0,,476.0,,45.0,22.0,67.0,Increase,Increase,Increase
MH209,Psychology (through Science) - 4 years,529.0,,498.0,,485.0,,31.0,13.0,44.0,Increase,Increase,Increase
MH210,Pharmaceutical and Biomedical Chemistry,510.0,,487.0,,466.0,,23.0,21.0,44.0,Increase,Increase,Increase
MH212,Science|Maths and Computer Science|Mathematics (wi,452.0,,422.0,,476.0,,30.0,-54.0,-24.0,Increase,Decrease,Decrease
MH304,Engineering (Computer/Electronic/Communications),351.0,,333.0,,423.0,,18.0,-90.0,-72.0,Increase,Decrease,Decrease
MH305,Product Design,326.0,,357.0,,411.0,,-31.0,-54.0,-85.0,Decrease,Decrease,Decrease
MH306,Robotics and Intelligent Devices,362.0,,361.0,,424.0,,1.0,-63.0,-62.0,Increase,Decrease,Decrease
MH401,Finance (options),370.0,,357.0,,392.0,,13.0,-35.0,-22.0,Increase,Decrease,Decrease
MH402,Quantitative Finance,476.0,,476.0,,487.0,,0.0,-11.0,-11.0,No Change,Decrease,Decrease
MH403,Accounting and Finance,424.0,,422.0,,432.0,,2.0,-10.0,-8.0,Increase,Decrease,Decrease
MH404,Business (options),441.0,,430.0,,429.0,,11.0,1.0,12.0,Increase,Increase,Increase
MH405,Equine Business,,,357.0,,398.0,,,-41.0,,Course Ran For One Year,Decrease,Course Ran For One Year
MH407,Business and Accounting,423.0,,420.0,,420.0,,3.0,0.0,3.0,Increase,No Change,Increase
MH411,Entrepreneurship,378.0,,371.0,,388.0,,7.0,-17.0,-10.0,Increase,Decrease,Decrease
MH501,LLB Law - four year Single Major Law programme,507.0,,473.0,,476.0,,34.0,-3.0,31.0,Increase,Decrease,Increase
MH502,Law (options),465.0,,451.0,,442.0,,14.0,9.0,23.0,Increase,Increase,Increase
MH601,Computer Science through Arts (options),381.0,,352.0,,369.0,,29.0,-17.0,12.0,Increase,Decrease,Increase
MH602,Computer Science through Science (options),400.0,,351.0,,413.0,,49.0,-62.0,-13.0,Increase,Decrease,Decrease
MH603,Computational Thinking,520.0,,532.0,,543.0,,-12.0,-11.0,-23.0,Decrease,Decrease,Decrease
MH801,Early Childhood - Teaching and Learning (part-time,,All Qualified Applicants,327.0,,358.0,,,-31.0,,Course Ran For One Year,Decrease,Course Ran For One Year
MH802,Community and Youth Work (part-time  in service),,,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
MH803,Local Studies/Community Studies (part-time  evenin,,,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
MI001,Contemporary and Applied Theatre Studies,209.0,,375.0,,381.0,,-166.0,-6.0,-172.0,Decrease,Decrease,Decrease
MI002,Arts,280.0,,300.0,,378.0,,-20.0,-78.0,-98.0,Decrease,Decrease,Decrease
MI004,Education - Primary Teaching - International,589.0,,577.0,,,,12.0,,,Increase,Course Ran For One Year,Course Ran For One Year
MI005,Education - Primary Teaching,522.0,,495.0,,506.0,Randomly Selected,27.0,-11.0,16.0,Increase,Decrease,Increase
MI006,Education - Primary Teaching - Gaeltacht Applicant,485.0,Test/Portfolio,456.0,,473.0,Test/Portfolio,29.0,-17.0,12.0,Increase,Decrease,Increase
MI007,Early Childhood Care and Education,409.0,,357.0,,402.0,,52.0,-45.0,7.0,Increase,Decrease,Increase
MI008,Education and Psychology - Primary Teaching,590.0,,588.0,,555.0,,2.0,33.0,35.0,Increase,Increase,Increase
MI009,Education  Business Studies and Accounting,434.0,,402.0,,420.0,,32.0,-18.0,14.0,Increase,Decrease,Increase
MI010,Education  Business Studies and Religious Studies,370.0,,368.0,,355.0,,2.0,13.0,15.0,Increase,Increase,Increase
MI011,Education  Gaeilge and Religious Studies,407.0,,409.0,,387.0,,-2.0,22.0,20.0,Decrease,Increase,Increase
MI012,Education  Gaeilge and Business Studies,387.0,,401.0,,440.0,,-14.0,-39.0,-53.0,Decrease,Decrease,Decrease
MI013,Education  Mathematics and Gaeilge,509.0,,444.0,,465.0,,65.0,-21.0,44.0,Increase,Decrease,Increase
MI014,Education  Mathematics and Business Studies,476.0,,434.0,,,,42.0,,,Increase,Course Ran For One Year,Course Ran For One Year
MU001,Theology and Arts,294.0,,290.0,,318.0,,4.0,-28.0,-24.0,Increase,Decrease,Decrease
MU002,Theology,,,440.0,,377.0,,,63.0,,Course Ran For One Year,Increase,Course Ran For One Year
NC003,Computing (Degree Award options),271.0,,260.0,,316.0,,11.0,-56.0,-45.0,Increase,Decrease,Decrease
NC005,Human Resource Management,301.0,,300.0,,320.0,,1.0,-20.0,-19.0,Increase,Decrease,Decrease
NC009,Business,300.0,,300.0,,339.0,,0.0,-39.0,-39.0,No Change,Decrease,Decrease
NC010,Psychology,420.0,,400.0,,399.0,,20.0,1.0,21.0,Increase,Increase,Increase
NC020,Marketing Practice,270.0,,280.0,,307.0,,-10.0,-27.0,-37.0,Decrease,Decrease,Decrease
NC022,Accounting and Finance,330.0,,337.0,,376.0,,-7.0,-39.0,-46.0,Decrease,Decrease,Decrease
NC023,Technology Management (with specialisations),266.0,,261.0,,303.0,,5.0,-42.0,-37.0,Increase,Decrease,Decrease
NC025,Data Science,,,,,371.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
NC030,Early Childhood Education and Care,251.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
NM801,Montessori Education,262.0,,220.0,,,,42.0,,,Increase,Course Ran For One Year,Course Ran For One Year
NM802,Psychology,228.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
PC405,Social  Political and Community Studies,263.0,,253.0,,296.0,,10.0,-43.0,-33.0,Increase,Decrease,Decrease
PC410,Arts and Humanities (fulfils Teaching Council requ,262.0,,252.0,,289.0,,10.0,-37.0,-27.0,Increase,Decrease,Decrease
PC411,English and History (fulfils Teaching Council requ,243.0,,255.0,,289.0,,-12.0,-34.0,-46.0,Decrease,Decrease,Decrease
RC001,Medicine - Undergraduate Entry (HPAT required),741.0,Test/Portfolio,733.0,,733.0,Test/Portfolio,8.0,0.0,8.0,Increase,No Change,Increase
RC004,Physiotherapy,589.0,Randomly Selected,566.0,,542.0,Randomly Selected,23.0,24.0,47.0,Increase,Increase,Increase
RC005,Pharmacy,613.0,Randomly Selected,579.0,,566.0,,34.0,13.0,47.0,Increase,Increase,Increase
RC101,Medicine - Graduate Entry (GAMSAT required),,,,,62.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG141,Business,262.0,,261.0,,317.0,,1.0,-56.0,-55.0,Increase,Decrease,Decrease
SG142,Business in International Marketing and Languages (French),,,279.0,,388.0,,,-109.0,,Course Ran For One Year,Decrease,Course Ran For One Year
SG144,Business in International Marketing and Languages (Spanish),,,270.0,,388.0,,,-118.0,,Course Ran For One Year,Decrease,Course Ran For One Year
SG145,Business and ICT,279.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG146,Accounting,304.0,,309.0,,347.0,,-5.0,-38.0,-43.0,Decrease,Decrease,Decrease
SG147,Sport with Business,288.0,,307.0,,316.0,,-19.0,-9.0,-28.0,Decrease,Decrease,Decrease
SG148,Tourism with Event Management,298.0,,269.0,,282.0,,29.0,-13.0,16.0,Increase,Decrease,Increase
SG149,Business in Finance and Investment,,,,,357.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG150,Business in Marketing,298.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG241,Performing Arts,341.0,,328.0,,348.0,,13.0,-20.0,-7.0,Increase,Decrease,Decrease
SG242,Early Childhood Care and Education,287.0,,279.0,,318.0,,8.0,-39.0,-31.0,Increase,Decrease,Decrease
SG243,Social Care Practice,309.0,,301.0,,338.0,,8.0,-37.0,-29.0,Increase,Decrease,Decrease
SG244,Fine Art,501.0,Test/Portfolio,505.0,,496.0,Test/Portfolio,-4.0,9.0,5.0,Decrease,Increase,Increase
SG245,Creative Design,332.0,,282.0,,338.0,,50.0,-56.0,-6.0,Increase,Decrease,Decrease
SG246,Computing,316.0,,290.0,,368.0,,26.0,-78.0,-52.0,Increase,Decrease,Decrease
SG247,English and Psychology,319.0,,309.0,,336.0,,10.0,-27.0,-17.0,Increase,Decrease,Decrease
SG248,Sociology and Politics,298.0,,281.0,,320.0,,17.0,-39.0,-22.0,Increase,Decrease,Decrease
SG249,Writing and Literature,308.0,,297.0,,338.0,,11.0,-41.0,-30.0,Increase,Decrease,Decrease
SG250,Application Design and User Experience,,,412.0,,431.0,,,-19.0,,Course Ran For One Year,Decrease,Course Ran For One Year
SG251,Computing (Smart Technologies),,,327.0,,391.0,,,-64.0,,Course Ran For One Year,Decrease,Course Ran For One Year
SG252,Software Development,310.0,,307.0,,354.0,,3.0,-47.0,-44.0,Increase,Decrease,Decrease
SG253,Computing in Computer Networks and Cyber Security,336.0,,324.0,,341.0,,12.0,-17.0,-5.0,Increase,Decrease,Decrease
SG254,Writing and Literature Online,327.0,,225.0,,,,102.0,,,Increase,Course Ran For One Year,Course Ran For One Year
SG255,Law and Business,291.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG341,General Engineering,373.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG342,Civil Engineering,418.0,,415.0,,,,3.0,,,Increase,Course Ran For One Year,Course Ran For One Year
SG343,Quantity Surveying,300.0,,311.0,,302.0,,-11.0,9.0,-2.0,Decrease,Increase,Decrease
SG344,Mechanical Engineering,412.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG346,Construction Project Management and Applied Techno,313.0,,291.0,,351.0,,22.0,-60.0,-38.0,Increase,Decrease,Decrease
SG347,Architecture,403.0,,360.0,,357.0,,43.0,3.0,46.0,Increase,Increase,Increase
SG348,Interior Architecture and Design,359.0,,316.0,,,,43.0,,,Increase,Course Ran For One Year,Course Ran For One Year
SG349,Electronics and Self Driving Technologies,,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG350,Robotics and Automation,384.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG441,Environmental Science,,,,,358.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG442,Occupational Safety and Health,307.0,,290.0,,330.0,,17.0,-40.0,-23.0,Increase,Decrease,Decrease
SG443,Human Nutrition,376.0,,356.0,,419.0,,20.0,-63.0,-43.0,Increase,Decrease,Decrease
SG444,Science Undenominated,358.0,,338.0,,369.0,,20.0,-31.0,-11.0,Increase,Decrease,Decrease
SG445,Pharmaceutical Science with Drug Development,357.0,,311.0,,369.0,,46.0,-58.0,-12.0,Increase,Decrease,Decrease
SG446,Applied Archaeology,,,,,290.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
SG447,Health Science and Physical Activity,326.0,,328.0,,363.0,,-2.0,-35.0,-37.0,Decrease,Decrease,Decrease
SG448,Forensic Investigation and Analysis,308.0,,306.0,,348.0,,2.0,-42.0,-40.0,Increase,Decrease,Decrease
SG449,Medical Biotechnology,315.0,,341.0,,352.0,,-26.0,-11.0,-37.0,Decrease,Decrease,Decrease
SG450,Environmental Science with Ecology (Level 8),310.0,,300.0,,,,10.0,,,Increase,Course Ran For One Year,Course Ran For One Year
TA022,Creative Digital Media,,,,,318.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA023,Advertising and Marketing Communications,,,,,299.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA024,Early Childhood Care and Education,,,,,307.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA025,Social Care Practice,,,,,297.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA026,International Hospitality and Tourism Management,,,,,269.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA027,Botanical Cuisine,,,,,273.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA028,Digital Marketing Technologies,,,,,313.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA121,Accounting and Finance,,,,,328.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA122,Management,,,,,297.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA123,Marketing Management,,,,,284.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA125,International Business,,,,,300.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA221,Electronic Engineering,,,,,321.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA222,Mechanical Engineering,,,,,302.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA223,Sustainable Energy Engineering,,,,,305.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA224,Biomedical Design,,,,,324.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA225,Automation Engineering,,,,,288.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA226,Engineering Software,,,,,304.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA321,Pharmaceutical Science,,,,,298.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA322,Computing,,,,,294.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA323,Computing with IT Management,,,,,309.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA326,DNA and Forensic Analysis,,,,,362.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA327,Sports Science and Health,,,,,381.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA328,Computing with Language (French/German/Spanish),,,,,317.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TA329,Computing with Data Analytics,,,,,296.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TL801,Animation  Visual Effects and Motion Design (Level,718.0,Test/Portfolio,281.0,,341.0,,437.0,-60.0,377.0,Increase,Decrease,Increase
TL802,TV  Radio and New Media (Level 8),322.0,,325.0,,356.0,,-3.0,-31.0,-34.0,Decrease,Decrease,Decrease
TL803,Music Technology,,,,,288.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TL810,Computing with Software Development,308.0,,310.0,,341.0,,-2.0,-31.0,-33.0,Decrease,Decrease,Decrease
TL811,Computing with Games Development,322.0,,358.0,,334.0,,-36.0,24.0,-12.0,Decrease,Increase,Decrease
TL812,Computing with Digital Media,,,,,369.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TL815,Computing (Degree Award options),307.0,,308.0,,378.0,,-1.0,-70.0,-71.0,Decrease,Decrease,Decrease
TL823,Event Management (3 year programme),293.0,,299.0,,346.0,,-6.0,-47.0,-53.0,Decrease,Decrease,Decrease
TL831,Business Studies (Major Specialism in: Acctng or M,306.0,,306.0,,372.0,,0.0,-66.0,-66.0,No Change,Decrease,Decrease
TL842,Construction Management,,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TL844,Agricultural Engineering,301.0,,300.0,,368.0,,1.0,-68.0,-67.0,Increase,Decrease,Decrease
TL845,Civil Engineering,361.0,,325.0,,364.0,,36.0,-39.0,-3.0,Increase,Decrease,Decrease
TL847,Manufacturing Engineering,305.0,,302.0,,,,3.0,,,Increase,Course Ran For One Year,Course Ran For One Year
TL848,Agricultural Science,307.0,,308.0,,362.0,,-1.0,-54.0,-55.0,Decrease,Decrease,Decrease
TL851,Wildlife Biology (Degree Award options),309.0,,309.0,,362.0,,0.0,-53.0,-53.0,No Change,Decrease,Decrease
TL855,Pharmaceutical Science (Degree Award options),316.0,,317.0,,386.0,,-1.0,-69.0,-70.0,Decrease,Decrease,Decrease
TL858,Veterinary Bioscience,317.0,,308.0,,369.0,,9.0,-61.0,-52.0,Increase,Decrease,Decrease
TL871,Health and Leisure (Degree Award options),303.0,,300.0,,346.0,,3.0,-46.0,-43.0,Increase,Decrease,Decrease
TL872,Health and Leisure with Massage,314.0,,309.0,,357.0,,5.0,-48.0,-43.0,Increase,Decrease,Decrease
TL873,Coaching and Sports Performance,308.0,,289.0,,336.0,,19.0,-47.0,-28.0,Increase,Decrease,Decrease
TL874,Inclusive Sport and Physical Activity,341.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TL880,Early Childhood Care and Education,309.0,,307.0,,347.0,,2.0,-40.0,-38.0,Increase,Decrease,Decrease
TL881,Social Care,301.0,,308.0,,356.0,,-7.0,-48.0,-55.0,Decrease,Decrease,Decrease
TL889,Counselling with Addiction - Mature applicants onl,,,,,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
TL890,General Nursing and Mature Applicants,463.0,,440.0,,431.0,,23.0,9.0,32.0,Increase,Increase,Increase
TL891,Mental Health Nursing and Mature Applicants,440.0,,389.0,,379.0,Randomly Selected,51.0,10.0,61.0,Increase,Increase,Increase
TR002,Music,508.0,,435.0,,473.0,Test/Portfolio,73.0,-38.0,35.0,Increase,Decrease,Increase
TR003,History,552.0,,497.0,,518.0,,55.0,-21.0,34.0,Increase,Decrease,Increase
