code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info,points_r1_2021-2020,points_r1_2020-2019,points_r1_2021-2019,2021vs2020,2020vs2019,2021vs2019
CW108,Science (options),266.0,,261.0,,326.0,,5.0,-65.0,-60.0,Increase,Decrease,Decrease
CW128,Brewing and Distilling,307.0,,263.0,,298.0,,44.0,-35.0,9.0,Increase,Decrease,Increase
CW138,Sport and Exercise Science,430.0,,423.0,,,,7.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CW148,Strength and Conditioning,388.0,,379.0,,,,9.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CW178,Sport Science (options),,,,,424.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CW188,Sport Rehabilitation and Athletic Therapy,451.0,,451.0,,473.0,,0.0,-22.0,-22.0,No Change,Decrease,Decrease
CW208,Computer Games Development,272.0,,279.0,,338.0,,-7.0,-59.0,-66.0,Decrease,Decrease,Decrease
CW238,Software Development,295.0,,297.0,,343.0,,-2.0,-46.0,-48.0,Decrease,Decrease,Decrease
CW248,Information Technology Management,293.0,,285.0,,357.0,,8.0,-72.0,-64.0,Increase,Decrease,Decrease
CW258,Cybercrime and IT Security,292.0,,293.0,,328.0,,-1.0,-35.0,-36.0,Decrease,Decrease,Decrease
CW268,Computing in Interactive Digital Art and Design,291.0,,287.0,,321.0,,4.0,-34.0,-30.0,Increase,Decrease,Decrease
CW438,Construction (options),260.0,,272.0,,308.0,,-12.0,-36.0,-48.0,Decrease,Decrease,Decrease
CW468,Architectural Technology,291.0,,262.0,,290.0,,29.0,-28.0,1.0,Increase,Decrease,Increase
CW478,Civil Engineering,465.0,,433.0,,383.0,,32.0,50.0,82.0,Increase,Increase,Increase
CW548,Mechanical Engineering,330.0,,321.0,,351.0,,9.0,-30.0,-21.0,Increase,Decrease,Decrease
CW558,Electronic Systems,280.0,,280.0,,338.0,,0.0,-58.0,-58.0,No Change,Decrease,Decrease
