code,title,points_r2_2021,points_r2_2021_info,points_r2_2020,points_r2_2020_info,points_r2_2019,points_r2_2019_info
DT506,Commercial Modern Music,,,,,835.0,Test/Portfolio
DT508,Game Design,,,,,454.0,
DT517,Languages and English Studies,,,,,419.0,
DT518,Languages and International Tourism,,,,,357.0,
DT529,Drama (Performance),,,,,519.0,Test/Portfolio
DT532,Law (LL.B.),,,,,441.0,
DT533,Contemporary Visual Culture,,,,,,Test/Portfolio
DT544,Interior Design,,,,,866.0,Test/Portfolio
DT545,Design - Visual Communication,,,,,897.0,Test/Portfolio
DT546,Fine Art,,,,,813.0,Test/Portfolio
DT555,International Business and Languages,,,,,399.0,
DT559,Photography,,,,,926.0,Test/Portfolio
DT571,Social Care,,,,,424.0,
DT572,Early Childhood Education,,,,,403.0,
DT582,Journalism,,,,,373.0,
DT596,Print Media Technology and Management,,,,,311.0,
